"REF_DATE","GEO","DGUID","Seasonality","Credit liabilities of households","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","90358","","","","0"
"2023-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","91538","","","","0"
"2023-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","91803","","","","0"
"2023-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","94455","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","96901","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","97850","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","99100","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","99971","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101163","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101287","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","104889","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","105179","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101894","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","102762","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","103716","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","105390","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","106918","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108359","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108382","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109536","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110872","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109976","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","112185","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113356","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108672","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109001","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110244","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110995","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","112098","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114489","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113202","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114582","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116427","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113969","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116287","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","118241","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113913","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114402","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114867","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116555","","","","0"
"2023-01","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","67406","","","","0"
"2023-02","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","67995","","","","0"
"2023-03","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","67881","","","","0"
"2023-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","68101","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","68723","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69201","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69420","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69786","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70165","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70317","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70463","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70795","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71065","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71766","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71629","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72192","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72047","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72611","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","73224","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","73532","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","73942","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74108","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74003","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74562","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74268","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74662","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","74863","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","75431","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","75128","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","75755","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76057","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76245","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76771","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76750","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76728","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","77153","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76807","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","76967","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","77077","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","77371","","","","0"
"2023-01","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2851328","","","","0"
"2023-02","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2855309","","","","0"
"2023-03","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2858665","","","","0"
"2023-04","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2870575","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2887335","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2901804","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2913380","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2927182","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2936257","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2943822","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2955223","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2960057","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2956447","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2962996","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2964843","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2978205","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","2992433","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3009434","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3023564","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3038234","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3052676","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3064570","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3079671","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3091729","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3087448","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3093851","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3100986","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3114493","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3128372","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3149007","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3159142","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3176626","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3194098","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3204295","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3216698","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3225674","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3224289","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3232525","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3238723","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Total credit liabilities of households","Dollars","81","millions","6","v1231415582","1.1.33","3250223","","","","0"
"2023-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2116977","","","","0"
"2023-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2119260","","","","0"
"2023-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2124467","","","","0"
"2023-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2131034","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2140402","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2152879","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2162663","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2173710","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2179918","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2186235","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2193147","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2196576","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2196133","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2199333","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2203610","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2209626","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2221341","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2233221","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2243964","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2254808","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2263791","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2273045","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2284608","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2291470","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2295993","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2301687","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2306938","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2316642","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2328976","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2342926","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2351740","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2364768","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2374615","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2386126","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2394844","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2400565","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2403959","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2407906","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2411478","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2418996","","","","0"


